New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
Sheffield Heeley,"106,000","47,000",,19.4%,10.3%,15.0%,19.0%,19.1%,17.1%,,86.4%,0.2%,4.3%,3.6%,4.3%,1.0%,0.1%,,76.8%,4.6%,5.8%,6.1%,4.5%,2.3%,,46.4%,39.6%,0.4%,0.4%,0.1%,6.4%,0.1%,0.5%,6.0%,,27.1%,25.8%,15.2%,31.4%,0.4%
Sheffield South East,"104,000","44,000",,19.0%,10.1%,13.6%,17.9%,20.4%,19.0%,,88.5%,0.2%,3.6%,1.7%,5.5%,0.4%,0.1%,,77.8%,3.3%,11.2%,2.9%,2.8%,2.0%,,39.8%,41.5%,0.2%,0.3%,0.1%,12.5%,0.1%,0.3%,5.3%,,33.2%,30.4%,12.8%,23.0%,0.6%
Sherwood Forest,"103,000","44,000",,17.9%,8.6%,13.1%,18.4%,21.2%,20.9%,,95.1%,0.2%,2.3%,0.8%,1.0%,0.4%,0.1%,,92.6%,2.6%,1.4%,1.2%,1.8%,0.4%,,46.1%,46.3%,0.2%,0.3%,0.1%,0.6%,0.3%,0.5%,5.7%,,37.8%,33.4%,14.8%,13.3%,0.7%
Shipley,"97,400","43,600",,18.1%,8.2%,11.5%,19.5%,21.0%,21.8%,,93.5%,0.3%,2.4%,0.7%,2.5%,0.4%,0.2%,,86.4%,3.1%,6.7%,0.7%,2.2%,0.8%,,41.2%,46.3%,0.2%,0.5%,0.1%,5.5%,0.6%,0.5%,5.2%,,37.8%,33.1%,17.5%,11.0%,0.6%
Shrewsbury,"100,000","43,700",,16.9%,9.1%,12.5%,17.7%,21.1%,22.7%,,92.6%,0.4%,3.6%,0.7%,1.8%,0.5%,0.3%,,91.5%,4.1%,2.0%,0.4%,1.5%,0.5%,,41.3%,50.7%,0.3%,0.3%,0.1%,0.7%,0.2%,0.5%,6.1%,,38.9%,28.0%,17.7%,14.4%,1.0%
Sittingbourne and Sheppey,"113,000","44,200",,20.1%,9.7%,13.7%,19.1%,19.4%,18.1%,,91.7%,0.4%,4.5%,1.6%,1.3%,0.4%,0.1%,,87.7%,5.4%,1.7%,2.7%,1.9%,0.5%,,45.6%,46.8%,0.3%,0.5%,0.1%,1.2%,0.2%,0.4%,5.1%,,33.1%,33.4%,19.4%,12.8%,1.3%
Skipton and Ripon,"97,600","43,700",,15.6%,7.9%,9.1%,16.6%,23.9%,26.9%,,94.4%,0.3%,2.5%,0.6%,1.2%,0.7%,0.3%,,94.0%,2.9%,1.4%,0.3%,1.1%,0.3%,,36.4%,55.9%,0.3%,0.2%,0.1%,0.8%,0.1%,0.5%,5.8%,,44.8%,26.2%,18.5%,9.7%,0.7%
Sleaford and North Hykeham,"96,300","41,500",,17.2%,8.6%,11.5%,17.9%,21.6%,23.2%,,93.8%,0.3%,3.6%,0.7%,1.0%,0.5%,0.2%,,94.1%,3.0%,1.0%,0.4%,1.2%,0.3%,,39.5%,53.4%,0.2%,0.2%,0.1%,0.4%,0.1%,0.5%,5.6%,,39.8%,33.2%,15.6%,10.1%,1.3%
Slough,"138,000","45,100",,25.0%,10.5%,15.0%,24.7%,15.0%,9.7%,,55.6%,0.5%,12.5%,5.4%,24.7%,1.2%,0.1%,,23.0%,12.0%,47.8%,7.5%,3.9%,5.7%,,12.7%,31.1%,0.5%,7.5%,0.1%,31.1%,11.4%,0.4%,5.3%,,20.0%,29.0%,31.5%,18.3%,1.2%
Smethwick,"115,000","42,500",,23.0%,11.4%,14.0%,21.0%,17.2%,13.4%,,70.4%,0.4%,6.7%,4.1%,16.3%,2.0%,0.1%,,41.9%,5.5%,31.3%,11.0%,5.0%,5.3%,,22.7%,35.8%,0.3%,2.3%,0.0%,19.8%,13.3%,0.6%,5.2%,,27.5%,26.1%,21.8%,23.3%,1.2%
Solihull West and Shirley,"92,300","38,000",,18.5%,8.9%,11.6%,19.3%,20.5%,21.1%,,87.2%,1.2%,2.4%,1.8%,6.5%,0.7%,0.2%,,72.4%,5.0%,16.2%,1.4%,3.0%,2.0%,,28.8%,49.9%,0.3%,4.4%,0.1%,7.5%,3.4%,0.4%,5.2%,,41.5%,36.5%,13.3%,7.7%,1.0%
South Basildon and East Thurrock,"101,000","40,500",,20.1%,9.8%,14.1%,19.3%,19.0%,17.7%,,88.1%,0.5%,4.8%,3.1%,2.8%,0.6%,0.1%,,81.4%,5.3%,4.3%,5.7%,2.4%,0.8%,,42.3%,48.0%,0.3%,1.2%,0.2%,2.0%,0.4%,0.4%,5.2%,,30.6%,34.1%,15.0%,19.0%,1.2%
South Cambridgeshire,"105,000","42,900",,18.0%,9.4%,11.6%,19.8%,20.5%,20.8%,,81.4%,0.6%,7.1%,2.1%,6.4%,1.8%,0.6%,,76.9%,9.5%,8.1%,1.2%,2.9%,1.4%,,41.4%,45.8%,0.7%,1.8%,0.3%,2.0%,0.2%,0.6%,7.2%,,37.9%,28.9%,14.6%,16.6%,1.9%
South Cotswolds,"94,500","40,600",,17.1%,8.5%,9.8%,18.2%,22.4%,24.0%,,91.4%,0.4%,3.1%,1.5%,2.0%,1.0%,0.5%,,91.5%,3.8%,1.9%,0.8%,1.6%,0.5%,,38.1%,53.9%,0.4%,0.5%,0.1%,0.4%,0.1%,0.5%,5.9%,,40.4%,28.8%,15.6%,13.4%,1.9%
South Derbyshire,"94,700","40,100",,18.7%,8.8%,13.1%,19.2%,20.9%,19.2%,,93.9%,0.2%,2.6%,0.8%,2.1%,0.4%,0.1%,,90.0%,2.9%,3.7%,0.8%,1.8%,0.7%,,42.9%,47.3%,0.2%,0.6%,0.0%,0.7%,2.2%,0.5%,5.5%,,36.6%,37.7%,14.3%,10.4%,1.0%
South Devon,"90,700","40,900",,15.0%,7.5%,8.8%,15.1%,23.5%,30.1%,,94.1%,0.3%,2.4%,0.9%,1.2%,0.8%,0.3%,,94.2%,3.1%,0.7%,0.2%,1.3%,0.4%,,43.8%,47.5%,0.6%,0.1%,0.2%,0.4%,0.0%,1.0%,6.5%,,46.5%,22.7%,17.0%,12.2%,1.5%
South Dorset,"98,500","44,300",,15.1%,8.4%,10.2%,16.1%,23.0%,27.3%,,93.7%,0.4%,3.2%,0.7%,1.2%,0.6%,0.2%,,93.7%,3.2%,1.1%,0.4%,1.3%,0.4%,,43.4%,48.4%,0.4%,0.1%,0.1%,0.5%,0.0%,0.7%,6.3%,,42.2%,23.9%,19.7%,13.2%,0.9%
South East Cornwall,"91,000","40,900",,15.2%,7.7%,9.2%,15.8%,23.9%,28.2%,,95.6%,0.3%,2.1%,0.6%,0.8%,0.4%,0.3%,,95.4%,2.4%,0.5%,0.1%,0.9%,0.7%,,43.7%,48.6%,0.4%,0.1%,0.1%,0.1%,0.0%,0.8%,6.3%,,44.7%,25.2%,17.1%,11.9%,1.1%
South Holland and The Deepings,"109,000","46,900",,17.0%,8.5%,11.4%,17.8%,21.4%,23.9%,,86.6%,0.2%,10.8%,0.7%,1.1%,0.5%,0.1%,,85.6%,10.7%,1.2%,0.5%,1.3%,0.6%,,34.0%,58.1%,0.2%,0.2%,0.1%,0.5%,0.1%,0.4%,6.4%,,40.8%,29.4%,16.6%,11.9%,1.2%
South Leicestershire,"102,000","42,400",,18.3%,8.9%,11.9%,18.5%,21.6%,20.9%,,94.9%,0.3%,2.2%,0.9%,1.1%,0.4%,0.2%,,91.3%,2.8%,2.6%,0.7%,2.1%,0.5%,,43.9%,47.8%,0.2%,1.1%,0.1%,0.5%,0.6%,0.3%,5.3%,,39.6%,37.5%,11.8%,9.5%,1.6%
South Norfolk,"92,500","39,500",,18.6%,7.9%,11.7%,19.4%,20.0%,22.4%,,92.5%,0.2%,2.9%,1.4%,1.9%,0.7%,0.3%,,91.0%,3.7%,2.2%,0.9%,1.7%,0.5%,,45.5%,46.2%,0.4%,0.5%,0.1%,0.7%,0.0%,0.4%,6.1%,,39.8%,34.2%,13.5%,11.1%,1.4%
South Northamptonshire,"102,000","42,100",,18.4%,8.6%,11.2%,19.7%,21.9%,20.2%,,92.3%,0.5%,3.0%,1.4%,1.3%,1.2%,0.3%,,90.7%,4.2%,1.9%,1.0%,1.8%,0.4%,,42.0%,50.3%,0.3%,0.5%,0.1%,0.5%,0.2%,0.5%,5.5%,,36.6%,38.0%,13.4%,10.5%,1.6%
South Ribble,"94,700","40,400",,17.3%,8.5%,11.4%,18.8%,21.6%,22.4%,,95.5%,0.4%,1.9%,0.6%,1.1%,0.3%,0.1%,,93.5%,2.3%,1.8%,0.5%,1.7%,0.3%,,30.0%,62.8%,0.2%,0.7%,0.1%,0.9%,0.1%,0.4%,5.0%,,41.0%,35.3%,11.8%,10.9%,0.9%
South Shields,"88,800","41,500",,17.4%,9.0%,12.0%,17.8%,22.0%,21.8%,,94.8%,0.1%,1.5%,0.6%,2.6%,0.3%,0.1%,,91.5%,1.4%,4.0%,0.6%,1.6%,1.0%,,39.4%,51.2%,0.2%,0.2%,0.0%,3.6%,0.4%,0.4%,4.6%,,31.9%,25.5%,14.5%,27.4%,0.7%
South Shropshire,"95,000","42,000",,14.3%,7.7%,8.7%,14.9%,24.2%,30.2%,,95.9%,0.3%,1.6%,0.6%,0.9%,0.4%,0.2%,,95.5%,2.2%,0.9%,0.2%,0.9%,0.2%,,33.9%,58.8%,0.3%,0.1%,0.0%,0.3%,0.2%,0.5%,5.9%,,47.6%,21.9%,18.1%,11.6%,0.8%
South Suffolk,"92,300","40,200",,16.2%,8.4%,9.8%,16.9%,22.1%,26.6%,,94.3%,0.3%,2.6%,0.9%,1.0%,0.6%,0.3%,,93.6%,3.1%,0.9%,0.5%,1.5%,0.4%,,42.9%,49.6%,0.3%,0.2%,0.1%,0.5%,0.0%,0.4%,6.0%,,43.5%,27.6%,14.8%,13.3%,0.9%
South West Devon,"97,000","41,400",,17.2%,8.2%,10.3%,17.6%,21.8%,24.9%,,95.3%,0.3%,2.1%,0.6%,0.9%,0.5%,0.2%,,95.6%,2.2%,0.6%,0.3%,1.0%,0.3%,,43.3%,49.8%,0.2%,0.1%,0.1%,0.3%,0.0%,0.5%,5.8%,,42.8%,33.8%,14.4%,7.5%,1.4%
South West Hertfordshire,"99,000","38,900",,19.9%,9.1%,10.9%,21.3%,20.5%,18.3%,,81.4%,1.1%,5.9%,3.9%,6.0%,1.2%,0.4%,,68.8%,9.1%,14.6%,2.3%,3.6%,1.6%,,31.2%,47.7%,0.5%,7.9%,1.5%,3.6%,0.9%,0.9%,5.7%,,35.0%,36.2%,13.4%,14.7%,0.8%
South West Norfolk,"104,000","44,200",,17.2%,8.5%,12.0%,17.0%,21.1%,24.2%,,88.0%,0.3%,7.7%,0.7%,0.9%,2.2%,0.1%,,87.3%,8.8%,0.9%,0.6%,1.6%,0.8%,,42.1%,49.9%,0.3%,0.1%,0.1%,0.4%,0.0%,0.6%,6.3%,,39.7%,26.2%,19.4%,14.1%,0.6%
South West Wiltshire,"96,900","41,900",,17.5%,8.9%,12.0%,18.4%,21.1%,22.1%,,89.8%,0.3%,5.9%,1.1%,1.8%,0.6%,0.3%,,89.4%,5.7%,1.7%,0.8%,1.7%,0.8%,,43.1%,48.4%,0.4%,0.3%,0.1%,0.9%,0.1%,0.7%,6.1%,,37.3%,30.3%,17.5%,14.2%,0.7%
Southampton Itchen,"110,000","46,700",,18.2%,14.0%,16.9%,19.6%,16.7%,14.6%,,80.6%,0.4%,10.3%,2.4%,5.0%,1.1%,0.2%,,75.1%,10.8%,6.3%,2.6%,3.3%,1.7%,,46.5%,40.4%,0.5%,0.9%,0.1%,3.5%,0.9%,0.7%,6.5%,,23.5%,27.3%,25.4%,22.4%,1.5%
Southampton Test,"111,000","45,500",,18.4%,15.9%,16.7%,20.9%,15.4%,12.9%,,72.2%,0.5%,13.7%,3.1%,9.0%,1.2%,0.3%,,62.9%,14.3%,13.3%,3.4%,3.3%,2.7%,,41.3%,40.1%,0.5%,1.5%,0.1%,7.1%,2.3%,0.6%,6.3%,,20.8%,23.4%,33.3%,21.6%,0.9%
Southend East and Rochford,"98,200","42,900",,19.1%,9.9%,13.5%,19.5%,19.7%,18.4%,,87.3%,0.5%,5.4%,2.6%,3.4%,0.7%,0.2%,,81.5%,6.1%,4.9%,3.3%,3.0%,1.1%,,45.8%,42.1%,0.5%,0.9%,1.0%,3.0%,0.1%,0.7%,6.0%,,28.6%,26.5%,27.4%,16.5%,1.1%
Southend West and Leigh,"103,000","43,900",,18.9%,8.5%,12.1%,20.6%,19.8%,20.0%,,89.4%,0.6%,3.9%,1.8%,3.4%,0.6%,0.3%,,84.0%,5.0%,5.1%,2.1%,2.8%,1.0%,,44.9%,43.1%,0.5%,1.2%,1.1%,2.6%,0.1%,0.6%,6.0%,,35.0%,34.0%,23.1%,7.6%,0.5%
Southgate and Wood Green,"128,000","49,200",,18.1%,10.1%,16.0%,23.7%,18.4%,13.6%,,53.3%,1.3%,27.5%,6.5%,7.2%,3.9%,0.3%,,29.8%,28.5%,12.8%,11.8%,6.3%,10.8%,,23.7%,44.9%,0.9%,3.3%,2.0%,14.4%,0.4%,2.7%,7.7%,,24.3%,23.3%,32.5%,18.4%,1.5%
Southport,"97,400","43,600",,15.7%,8.3%,10.9%,17.1%,22.7%,25.3%,,91.2%,0.5%,5.5%,0.8%,1.5%,0.5%,0.1%,,89.5%,5.9%,1.8%,0.6%,1.6%,0.7%,,32.7%,59.4%,0.3%,0.3%,0.2%,1.1%,0.0%,0.4%,5.6%,,40.3%,28.3%,23.3%,7.0%,1.1%
Spelthorne,"103,000","41,800",,19.0%,8.6%,13.1%,21.3%,19.9%,18.1%,,79.1%,0.9%,7.4%,3.0%,8.1%,1.2%,0.3%,,69.2%,9.5%,12.8%,2.5%,3.7%,2.4%,,31.2%,50.9%,0.7%,4.2%,0.2%,4.0%,2.5%,0.5%,5.7%,,33.4%,34.6%,17.9%,12.7%,1.3%
Spen Valley,"95,200","40,900",,19.3%,9.0%,12.2%,18.8%,20.4%,20.2%,,93.6%,0.3%,1.9%,0.6%,3.2%,0.3%,0.1%,,86.1%,2.2%,8.3%,0.7%,2.1%,0.5%,,38.8%,47.2%,0.2%,0.4%,0.1%,7.4%,0.3%,0.4%,5.2%,,35.4%,33.6%,16.5%,14.0%,0.5%
St Albans,"99,500","39,900",,21.1%,8.4%,12.4%,22.7%,19.1%,16.2%,,80.9%,1.1%,7.3%,3.0%,5.4%,1.7%,0.6%,,69.3%,11.2%,10.1%,2.5%,4.6%,2.2%,,37.4%,44.8%,0.5%,2.1%,1.9%,6.2%,0.3%,0.5%,6.2%,,32.6%,35.4%,17.9%,13.4%,0.7%
St Austell and Newquay,"99,800","43,500",,17.1%,8.7%,11.7%,18.1%,21.4%,23.1%,,94.8%,0.3%,2.9%,0.6%,0.7%,0.5%,0.2%,,93.9%,3.3%,0.5%,0.1%,1.1%,1.0%,,48.0%,44.1%,0.3%,0.1%,0.1%,0.1%,0.0%,0.7%,6.6%,,39.0%,26.7%,21.7%,11.2%,1.4%
St Helens North,"100,000","43,900",,18.1%,8.8%,13.0%,18.6%,20.7%,20.8%,,95.4%,0.3%,2.4%,0.5%,1.0%,0.3%,0.1%,,94.2%,2.7%,1.2%,0.4%,1.1%,0.5%,,31.5%,62.3%,0.2%,0.2%,0.0%,0.7%,0.0%,0.4%,4.6%,,35.0%,30.4%,13.3%,20.5%,0.8%
St Helens South and Whiston,"94,800","42,000",,17.7%,9.5%,13.2%,18.7%,21.2%,19.8%,,94.3%,0.4%,2.6%,0.6%,1.7%,0.3%,0.1%,,92.7%,3.0%,2.1%,0.5%,1.1%,0.6%,,30.5%,62.8%,0.3%,0.5%,0.0%,0.7%,0.0%,0.3%,4.8%,,33.8%,29.3%,16.9%,19.2%,0.9%
St Ives,"88,500","40,400",,15.4%,7.8%,9.4%,16.2%,23.1%,28.1%,,95.0%,0.3%,2.3%,0.7%,0.8%,0.6%,0.3%,,93.6%,2.9%,0.6%,0.2%,1.3%,1.5%,,45.7%,46.0%,0.5%,0.0%,0.1%,0.2%,0.0%,0.9%,6.6%,,43.9%,21.3%,19.8%,13.8%,1.1%
St Neots and Mid Cambridgeshire,"106,000","43,600",,20.3%,8.7%,12.4%,22.3%,18.9%,17.4%,,84.9%,0.5%,7.0%,1.9%,3.8%,1.6%,0.3%,,80.5%,9.1%,5.1%,1.4%,2.8%,1.1%,,46.2%,43.2%,0.5%,1.3%,0.2%,1.8%,0.2%,0.5%,6.1%,,33.1%,35.1%,15.2%,13.9%,2.7%
Stafford,"94,500","41,800",,17.0%,8.3%,12.7%,18.4%,21.5%,22.1%,,91.2%,0.4%,3.9%,1.0%,2.7%,0.6%,0.1%,,88.3%,4.0%,3.6%,1.3%,2.0%,0.8%,,38.1%,52.4%,0.5%,1.1%,0.1%,1.3%,0.6%,0.5%,5.4%,,37.3%,30.2%,16.7%,14.8%,0.9%
Staffordshire Moorlands,"85,200","37,700",,15.6%,8.3%,10.0%,16.7%,23.2%,26.2%,,97.4%,0.2%,1.3%,0.3%,0.5%,0.2%,0.1%,,96.5%,1.5%,0.7%,0.2%,1.0%,0.2%,,34.2%,58.8%,0.2%,0.1%,0.0%,0.3%,0.1%,0.4%,5.9%,,47.8%,29.7%,13.0%,9.1%,0.4%
Stalybridge and Hyde,"97,300","42,000",,19.9%,9.1%,13.5%,19.7%,20.1%,17.6%,,92.7%,0.4%,2.1%,1.1%,3.3%,0.3%,0.1%,,87.1%,2.5%,6.7%,1.4%,1.8%,0.6%,,41.0%,46.9%,0.2%,0.5%,0.0%,5.8%,0.0%,0.4%,5.0%,,29.9%,32.2%,16.4%,21.0%,0.4%
Stevenage,"100,000","41,000",,20.0%,9.3%,14.7%,20.1%,19.8%,16.1%,,84.4%,0.7%,5.9%,3.1%,4.8%,0.9%,0.2%,,76.7%,7.3%,6.9%,4.4%,3.5%,1.2%,,44.3%,44.1%,0.4%,1.5%,0.2%,2.9%,0.3%,0.6%,5.6%,,27.6%,31.0%,14.9%,25.0%,1.6%
Stockport,"105,000","46,400",,19.9%,9.1%,15.7%,21.4%,18.9%,15.1%,,88.4%,1.0%,3.3%,1.5%,4.9%,0.6%,0.2%,,79.8%,5.5%,7.6%,2.0%,3.3%,1.8%,,43.6%,43.2%,0.3%,0.7%,0.2%,6.4%,0.1%,0.4%,5.2%,,27.0%,31.6%,19.8%,20.0%,1.5%
Stockton North,"99,100","42,700",,19.9%,9.4%,14.0%,18.6%,20.3%,17.9%,,93.3%,0.2%,2.0%,1.4%,2.7%,0.3%,0.1%,,89.9%,1.9%,4.6%,1.5%,1.2%,0.9%,,41.6%,48.2%,0.3%,0.2%,0.0%,3.7%,0.2%,0.3%,5.5%,,29.2%,29.4%,19.1%,21.7%,0.6%
Stockton West,"91,300","38,000",,18.8%,8.4%,10.7%,19.2%,21.8%,21.1%,,94.7%,0.2%,1.4%,0.8%,2.3%,0.3%,0.1%,,91.7%,1.6%,4.0%,0.6%,1.5%,0.6%,,35.5%,55.8%,0.3%,0.6%,0.0%,2.4%,0.5%,0.2%,4.7%,,40.9%,39.5%,12.6%,6.5%,0.5%
Stoke-on-Trent Central,"113,000","48,700",,19.9%,13.2%,15.1%,19.1%,17.8%,15.0%,,83.4%,0.2%,7.2%,2.4%,6.2%,0.5%,0.2%,,74.4%,6.5%,10.8%,3.6%,2.6%,2.1%,,38.6%,43.9%,0.4%,0.7%,0.0%,9.9%,0.2%,0.5%,5.8%,,26.5%,23.8%,24.7%,24.2%,0.8%
Stoke-on-Trent North,"100,000","43,200",,19.9%,9.9%,13.4%,18.4%,19.4%,19.0%,,90.3%,0.1%,3.9%,1.2%,4.0%,0.3%,0.1%,,83.5%,3.6%,7.9%,1.8%,2.0%,1.3%,,38.2%,47.3%,0.2%,0.3%,0.0%,7.7%,0.1%,0.4%,5.8%,,33.7%,27.9%,18.2%,19.6%,0.6%
Stoke-on-Trent South,"94,500","39,900",,19.0%,8.8%,11.6%,18.1%,20.3%,22.1%,,92.7%,0.2%,2.7%,0.8%,3.1%,0.2%,0.1%,,87.2%,2.7%,6.5%,1.2%,1.6%,0.9%,,35.3%,52.6%,0.2%,0.5%,0.0%,5.5%,0.3%,0.4%,5.2%,,39.9%,30.7%,12.2%,16.5%,0.6%
"Stone, Great Wyrley and Penkridge","92,800","38,500",,15.8%,8.9%,11.4%,17.7%,22.3%,23.8%,,96.3%,0.3%,1.4%,0.5%,1.1%,0.3%,0.1%,,93.0%,1.8%,2.1%,0.8%,1.8%,0.3%,,34.3%,57.9%,0.3%,0.3%,0.0%,0.9%,0.7%,0.4%,5.0%,,42.9%,31.6%,11.6%,12.8%,1.0%
Stourbridge,"92,900","40,400",,18.1%,9.7%,12.6%,18.5%,20.2%,20.9%,,92.5%,0.3%,2.2%,0.8%,3.7%,0.4%,0.1%,,84.2%,2.4%,8.2%,1.7%,2.5%,1.0%,,37.2%,48.1%,0.3%,0.5%,0.0%,6.5%,1.1%,0.5%,5.9%,,36.9%,28.7%,15.2%,18.4%,0.7%
Stratford-on-Avon,"95,100","42,400",,16.0%,7.6%,9.9%,17.5%,22.6%,26.4%,,91.0%,0.6%,4.6%,1.0%,1.7%,0.8%,0.3%,,89.3%,6.0%,2.0%,0.3%,1.7%,0.6%,,35.0%,57.1%,0.3%,0.5%,0.1%,0.5%,0.4%,0.4%,5.6%,,41.7%,28.6%,14.9%,13.1%,1.7%
Stratford and Bow,"128,000","47,300",,18.3%,13.3%,26.3%,23.2%,12.4%,6.6%,,52.2%,0.7%,16.5%,6.5%,19.5%,3.9%,0.7%,,23.0%,16.2%,37.6%,13.5%,5.5%,4.2%,,25.0%,29.7%,0.7%,3.6%,0.3%,32.2%,1.1%,0.6%,6.9%,,10.5%,17.3%,37.6%,30.9%,3.7%
Streatham and Croydon North,"119,000","47,300",,18.1%,9.7%,19.3%,23.9%,17.7%,11.2%,,59.9%,1.1%,14.0%,8.5%,6.9%,8.9%,0.7%,,32.3%,17.1%,13.5%,23.4%,8.3%,5.4%,,29.8%,46.5%,0.6%,2.6%,0.2%,11.8%,0.4%,0.8%,7.4%,,19.6%,29.5%,31.6%,17.8%,1.6%
Stretford and Urmston,"102,000","41,900",,20.1%,9.9%,13.3%,21.0%,19.5%,16.2%,,84.8%,1.3%,3.5%,2.2%,6.4%,1.6%,0.2%,,67.8%,5.7%,13.9%,5.7%,4.4%,2.5%,,32.9%,46.3%,0.4%,0.7%,0.2%,12.5%,1.5%,0.4%,5.1%,,31.4%,32.3%,15.5%,19.8%,1.0%
Stroud,"96,000","41,900",,16.9%,8.3%,10.4%,18.2%,22.9%,23.2%,,93.8%,0.4%,2.8%,1.0%,1.1%,0.7%,0.3%,,92.8%,3.9%,0.9%,0.4%,1.7%,0.4%,,45.0%,46.5%,0.4%,0.2%,0.1%,0.3%,0.1%,0.8%,6.6%,,40.9%,30.9%,13.7%,13.1%,1.3%
Suffolk Coastal,"93,200","42,800",,14.8%,7.8%,9.5%,15.4%,22.7%,29.8%,,92.8%,0.4%,3.4%,1.0%,1.3%,0.8%,0.2%,,92.0%,3.8%,1.4%,0.7%,1.7%,0.4%,,42.8%,49.2%,0.4%,0.2%,0.1%,0.5%,0.1%,0.5%,6.1%,,46.2%,22.9%,17.0%,13.4%,0.4%
Sunderland Central,"97,400","43,500",,16.7%,10.8%,13.3%,18.0%,21.2%,19.9%,,90.8%,0.1%,2.6%,1.9%,4.2%,0.3%,0.1%,,87.1%,2.5%,6.5%,2.0%,1.1%,0.9%,,36.7%,52.8%,0.3%,0.4%,0.0%,4.2%,0.4%,0.4%,4.8%,,32.0%,25.6%,19.8%,22.0%,0.5%
Surrey Heath,"98,100","38,400",,18.2%,9.8%,11.7%,20.1%,20.8%,19.4%,,83.2%,0.7%,5.2%,3.2%,6.0%,1.2%,0.5%,,78.4%,7.0%,8.5%,1.7%,2.7%,1.7%,,36.4%,50.0%,1.0%,2.1%,0.2%,3.0%,1.1%,0.6%,5.7%,,36.7%,37.0%,15.7%,9.5%,1.0%
Sussex Weald,"90,900","38,200",,17.0%,8.2%,10.1%,16.7%,22.6%,25.5%,,92.5%,0.5%,3.0%,1.3%,1.6%,0.8%,0.4%,,92.0%,4.3%,1.3%,0.4%,1.6%,0.4%,,42.5%,49.2%,0.3%,0.2%,0.2%,0.4%,0.0%,0.9%,6.3%,,43.3%,32.7%,13.2%,9.4%,1.4%
Sutton and Cheam,"105,000","41,700",,20.5%,8.4%,13.1%,23.8%,18.1%,16.0%,,69.2%,1.0%,10.0%,4.4%,13.0%,1.9%,0.4%,,55.3%,12.7%,19.2%,4.5%,4.7%,3.7%,,30.8%,45.7%,0.9%,7.6%,0.2%,7.8%,0.2%,0.6%,6.2%,,30.3%,34.9%,24.6%,9.2%,1.0%
Sutton Coldfield,"96,700","40,400",,18.3%,8.4%,10.3%,19.2%,20.8%,23.0%,,89.7%,1.0%,2.5%,1.2%,4.7%,0.8%,0.1%,,77.0%,4.4%,10.7%,2.8%,3.4%,1.7%,,31.4%,52.5%,0.4%,2.3%,0.1%,4.0%,3.5%,0.5%,5.3%,,42.5%,35.3%,13.1%,8.5%,0.6%
Swansea West,"105,000","46,100",,16.6%,17.1%,13.4%,17.4%,17.8%,17.6%,,86.1%,0.3%,5.0%,2.0%,5.8%,0.7%,0.1%,,81.2%,5.4%,7.1%,2.0%,2.0%,2.3%,,47.9%,37.1%,0.5%,0.6%,0.1%,5.6%,0.2%,0.6%,7.4%,,28.8%,21.5%,22.9%,26.1%,0.7%
Swindon North,"106,000","43,300",,20.8%,9.2%,13.3%,21.8%,19.1%,15.8%,,84.8%,0.4%,5.5%,2.1%,5.5%,1.5%,0.2%,,80.3%,6.5%,7.1%,2.5%,2.6%,1.1%,,43.5%,45.6%,0.6%,1.6%,0.1%,1.9%,0.6%,0.6%,5.6%,,29.3%,37.5%,15.8%,15.8%,1.5%
Swindon South,"113,000","46,700",,19.2%,9.4%,15.3%,21.5%,19.7%,14.8%,,73.1%,0.6%,7.5%,2.6%,14.0%,2.1%,0.2%,,66.5%,8.4%,17.0%,3.0%,3.0%,2.0%,,37.9%,46.8%,0.9%,3.6%,0.0%,3.6%,0.7%,0.7%,5.7%,,27.3%,31.8%,23.8%,15.7%,1.4%
Tamworth,"100,000","41,600",,18.2%,9.8%,12.9%,18.6%,20.3%,20.2%,,93.4%,0.4%,4.2%,0.5%,1.1%,0.3%,0.1%,,90.3%,4.4%,2.2%,0.7%,1.9%,0.5%,,42.2%,50.3%,0.2%,0.4%,0.0%,0.6%,0.8%,0.4%,5.0%,,35.7%,33.3%,13.8%,16.3%,0.8%
Tatton,"97,900","42,100",,17.9%,7.6%,9.5%,19.6%,21.7%,23.7%,,92.0%,0.5%,2.8%,0.9%,2.6%,0.8%,0.3%,,88.9%,3.9%,3.4%,0.6%,2.2%,1.0%,,35.3%,55.1%,0.3%,0.8%,0.4%,1.8%,0.2%,0.4%,5.7%,,42.0%,32.6%,14.5%,10.2%,0.8%
Taunton and Wellington,"108,000","47,400",,17.9%,8.8%,12.5%,18.2%,20.0%,22.6%,,89.2%,0.3%,5.7%,1.3%,2.7%,0.6%,0.2%,,88.4%,6.1%,2.8%,0.7%,1.4%,0.7%,,42.9%,48.5%,0.3%,0.4%,0.1%,0.8%,0.1%,0.5%,6.5%,,35.9%,28.2%,18.6%,16.0%,1.3%
